key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
4_41B7_010E_02B,4,0x41B7,14,1,43,43,528,1107,0,1,1,3066,0x996E,0x01A8,0x010E,0x41B7,0xF4CA,0x6108,0x0000,0x4492
4_41B7_010E_02F,4,0x41B7,14,1,47,47,576,1207,0,1,1,3067,0x9D6E,0x01A9,0x010E,0x41B7,0xF4CA,0x7084,0x0000,0x4484
4_41B7_010E_035,4,0x41B7,14,1,53,53,646,1353,1,0,1,3068,0xA26D,0x01AB,0x010E,0x41B7,0xF4CA,0x0000,0x0000,0x4492
4_C866_000E_020,4,0xC866,14,0,32,32,421,882,0,1,1,1320,0x7151,0x0161,0x000E,0xC866,0xF480,0x02D6,0x0000,0xCB62
4_C866_000E_024,4,0xC866,14,0,36,36,477,998,0,1,1,1312,0x734F,0x0167,0x000E,0xC866,0xF480,0x0210,0x0000,0xCB62
4_C866_000E_026,4,0xC866,14,0,38,38,505,1056,0,1,1,1309,0x744E,0x0169,0x000E,0xC866,0xF480,0x51CE,0x0000,0xCB62
4_C866_000E_028,4,0xC866,14,0,40,40,533,1114,0,1,1,1305,0x754D,0x016D,0x000E,0xC866,0xF480,0x616B,0x0000,0xCB55
4_C866_000E_029,4,0xC866,14,0,41,41,547,1143,0,1,1,1304,0x754C,0x016D,0x000E,0xC866,0xF480,0x694A,0x0000,0xCB55
4_C866_000E_02B,4,0xC866,14,0,43,43,573,1197,0,1,1,1301,0x764B,0x016F,0x000E,0xC866,0xF480,0x6108,0x0000,0xCB55
4_C866_000E_02D,4,0xC866,14,0,45,45,599,1251,0,1,1,1300,0x774A,0x0170,0x000E,0xC866,0xF480,0x6CE7,0x0000,0xCB62
4_C866_000E_02F,4,0xC866,14,0,47,47,625,1305,0,1,1,1297,0x7849,0x0173,0x000E,0xC866,0xF480,0x2CA5,0x0000,0xCB62
4_C866_000E_033,4,0xC866,14,0,51,51,672,1403,0,1,1,1262,0x8653,0x0155,0x000E,0xC866,0xF480,0x1842,0x0000,0xCB62
4_C866_000E_035,4,0xC866,14,0,53,53,693,1447,0,1,1,1261,0x8C57,0x014B,0x000E,0xC866,0xF480,0x5421,0x0000,0xCB62
4_CB5C_000C_018,4,0xCB5C,12,0,24,24,270,572,0,1,1,1386,0x745C,0x017A,0x000C,0xCB5C,0xF482,0x63BD,0x0000,0xCD80
4_CB5C_000C_01A,4,0xCB5C,12,0,26,26,294,622,0,1,1,1389,0x755B,0x0178,0x000C,0xCB5C,0xF482,0x2B39,0x0000,0xCD8B
4_CB5C_000C_01C,4,0xCB5C,12,0,28,28,318,672,0,1,1,1392,0x765A,0x0176,0x000C,0xCB5C,0xF482,0x4294,0x0000,0xCD80
4_CB5C_000C_01D,4,0xCB5C,12,0,29,29,330,697,0,1,1,1393,0x7659,0x0176,0x000C,0xCB5C,0xF482,0x1E73,0x0000,0xCD8B
4_CB5C_000C_01E,4,0xCB5C,12,0,30,30,342,722,0,1,1,1394,0x7759,0x0175,0x000C,0xCB5C,0xF482,0x7A31,0x0000,0xCD80
4_CB5C_000C_01F,4,0xCB5C,12,0,31,31,354,747,0,1,1,1395,0x7758,0x0174,0x000C,0xCB5C,0xF482,0x4210,0x0000,0xCD8B
4_CB5C_000C_020,4,0xCB5C,12,0,32,32,366,772,0,1,1,1396,0x7858,0x0174,0x000C,0xCB5C,0xF482,0x01CE,0x0000,0xCD8B
4_CB5C_000C_021,4,0xCB5C,12,0,33,33,378,797,0,1,1,1397,0x7857,0x0174,0x000C,0xCB5C,0xF482,0x35AD,0x0000,0xCD8B
4_CB5C_000C_022,4,0xCB5C,12,0,34,34,390,822,0,1,1,1398,0x7957,0x0173,0x000C,0xCB5C,0xF482,0x596B,0x0000,0xCD80
4_CB5C_000C_023,4,0xCB5C,12,0,35,35,402,847,0,1,1,1399,0x7956,0x0172,0x000C,0xCB5C,0xF482,0x794A,0x0000,0xCD80
4_CB5C_000C_025,4,0xCB5C,12,0,37,37,425,895,0,1,1,1400,0x7A55,0x0172,0x000C,0xCB5C,0xF482,0x2108,0x0000,0xCD8B
4_CB5C_000C_026,4,0xCB5C,12,0,38,38,436,918,0,1,1,1401,0x7B55,0x0171,0x000C,0xCB5C,0xF482,0x28E7,0x0000,0xCD8B
4_CB5C_000C_028,4,0xCB5C,12,0,40,40,458,964,0,1,1,1402,0x7C54,0x0170,0x000C,0xCB5C,0xF482,0x20A5,0x0000,0xCD8B
4_CB5C_000C_029,4,0xCB5C,12,0,41,41,469,987,0,1,1,1403,0x7C53,0x0170,0x000C,0xCB5C,0xF482,0x1084,0x0000,0xCD8B
4_CB5C_000C_02C,4,0xCB5C,12,0,44,44,499,1050,0,1,1,1404,0x7E52,0x016F,0x000C,0xCB5C,0xF482,0x6042,0x0000,0xCD8B
4_CB5C_000C_02D,4,0xCB5C,12,0,45,45,508,1069,0,1,1,1405,0x7E51,0x016F,0x000C,0xCB5C,0xF482,0x3421,0x0000,0xCD8B
