key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
3_1D82_0006_01B,3,0x1D82,6,0,27,27,161,357,1,18,27,850,0x795E,0x00EA,0x0006,0x1D82,0xF3C0,0x1CA5,0x0000,0x1E3F
3_1E38_000A_022,3,0x1E38,10,0,34,34,340,722,1,18,27,848,0x7957,0x011C,0x000A,0x1E38,0xF3C0,0x71CE,0x0000,0x2021
3_22E3_0009_022,3,0x22E3,9,0,34,34,302,646,0,27,27,844,0xB492,0x010E,0x0009,0x22E3,0xF3C0,0x2084,0x0000,0x2441
3_22E3_0009_024,3,0x22E3,9,0,36,36,320,684,0,27,27,850,0xAC88,0x012B,0x0009,0x22E3,0xF3C0,0x2042,0x0000,0x2441
3_22E3_0009_025,3,0x22E3,9,0,37,37,329,703,0,27,27,853,0xB590,0x013A,0x0009,0x22E3,0xF3C0,0x1421,0x0000,0x2441
3_22E3_0009_026,3,0x22E3,9,0,38,38,338,722,1,0,27,856,0xC8A2,0x0149,0x0009,0x22E3,0xF3C0,0x0000,0x0000,0x2441
0_1D33_010F_040,0,0x1D33,15,1,64,64,858,1788,1,0,24,4747,0xB878,0x019E,0x010F,0x1D33,0xF082,0x0000,0x0000,0x20E7
3_678A_0004_01F,3,0x678A,4,0,31,31,99,237,1,0,24,1088,0xA182,0x013D,0x0004,0x678A,0xF38A,0x0000,0x0000,0x6807
3_6FA6_000F_00B,3,0x6FA6,15,0,11,11,144,307,0,24,24,1130,0x776C,0x0125,0x000F,0x6FA6,0xF3C9,0x7FBD,0x0000,0x70DA
3_81DF_000F_03D,3,0x81DF,15,0,61,61,888,1845,1,0,21,3661,0xB87B,0x0142,0x000F,0x81DF,0xF38F,0x0000,0x0000,0x8580
3_26EB_0016_03E,3,0x26EB,22,0,62,62,1031,2132,1,0,20,3278,0xB678,0x01A4,0x0016,0x26EB,0xF391,0x0000,0x0000,0x2C53
3_2FFF_0016_035,3,0x2FFF,22,0,53,53,825,1711,1,0,20,3188,0x9D68,0x01F5,0x0016,0x2FFF,0xF391,0x0000,0x0000,0x3491
3_38C2_0113_036,3,0x38C2,19,1,54,54,846,1754,1,0,20,4827,0x7842,0x00E9,0x0113,0x38C2,0xF391,0x0000,0x0000,0x3CBA
0_1AF3_0109_040,0,0x1AF3,9,1,64,64,517,1106,1,0,19,4745,0xB878,0x01B5,0x0109,0x1AF3,0xF082,0x0000,0x0000,0x1D2D
3_1D82_0006_019,3,0x1D82,6,0,25,25,150,333,0,18,18,845,0x876E,0x00FE,0x0006,0x1D82,0xF3C0,0x2108,0x0000,0x1E3F
3_1D82_0006_01D,3,0x1D82,6,0,29,29,169,375,0,18,18,853,0x7D60,0x00DD,0x0006,0x1D82,0xF3C0,0x5C63,0x0000,0x1E3F
3_1E38_000A_01F,3,0x1E38,10,0,31,31,310,659,0,18,18,845,0x896A,0x0114,0x000A,0x1E38,0xF3C0,0x3A52,0x0000,0x2021
3_2015_000D_019,3,0x2015,13,0,25,25,300,633,0,18,18,847,0x9E85,0x0102,0x000D,0x2015,0xF3C0,0x7EF7,0x0000,0x223B
3_2015_000D_021,3,0x2015,13,0,33,33,387,815,0,18,18,854,0xBE9D,0x00F5,0x000D,0x2015,0xF3C0,0x2529,0x0000,0x223B
3_6804_0006_021,3,0x6804,6,0,33,33,160,361,1,0,18,1092,0xA180,0x0139,0x0006,0x6804,0xF38A,0x0000,0x0000,0x68CC
3_68C8_0008_025,3,0x68C8,8,0,37,37,272,589,1,0,18,1095,0xA17C,0x0136,0x0008,0x68C8,0xF38A,0x0000,0x0000,0x69F4
